Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4a. Reported Voting and Registration of the Total Voting-Age Population, by Sex, Race and Hispanic Origin, for States: November 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(leading dots indicate subpart),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State, sex, race, and Hispanic origin",Population 18 and over,Total  ,Percent citizen (18+),Margin of error1,Total  ,Percent registered (18+),Margin of error1,Total  ,Percent voted (18+),Margin of error1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,932,914,98.0,0.6,695,74.5,1.9,659,70.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,6,3,(B),(B),2,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,17,8,(B),(B),5,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),11,9,(B),(B),5,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,956,935,97.8,0.6,708,74.0,1.9,670,70.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,945,926,98.0,0.6,703,74.4,1.9,665,70.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,7,4,(B),(B),3,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,18,9,(B),(B),6,(B),(B),6,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"6,413","5,591",87.2,1.1,"4,085",63.7,1.6,"3,693",57.6,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"3,052","2,621",85.9,1.7,"1,852",60.7,2.4,"1,676",54.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"3,361","2,971",88.4,1.5,"2,233",66.4,2.2,"2,017",60.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"5,174","4,621",89.3,1.2,"3,410",65.9,1.8,"3,086",59.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"4,354","4,189",96.2,0.8,"3,108",71.4,1.9,"2,839",65.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,845,732,86.7,3.8,523,61.9,5.5,462,54.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,335,194,58.1,9.2,115,34.3,8.9,107,32.1,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),906,475,52.4,7.1,331,36.6,6.8,277,30.6,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"5,227","4,658",89.1,1.2,"3,443",65.9,1.8,"3,120",59.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"4,374","4,210",96.2,0.8,"3,125",71.4,1.8,"2,856",65.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,858,745,86.9,3.8,535,62.3,5.4,473,55.2,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,337,197,58.3,9.2,115,34.1,8.8,107,31.8,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"1,375","1,301",94.6,1.2,936,68.1,2.4,837,60.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,658,621,94.4,1.7,436,66.2,3.5,392,59.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,717,680,94.7,1.6,501,69.8,3.3,445,62.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"1,151","1,087",94.4,1.3,792,68.8,2.6,715,62.1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,660,653,98.9,0.8,509,77.1,3.1,471,71.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,34,34,(B),(B),23,(B),(B),23,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,11,3,(B),(B),3,(B),(B),3,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),544,486,89.2,4.0,316,58.0,6.4,276,50.6,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"1,181","1,115",94.4,1.3,807,68.3,2.6,728,61.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,677,669,98.9,0.8,519,76.7,3.1,480,70.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,39,39,(B),(B),26,(B),(B),26,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,11,3,(B),(B),3,(B),(B),3,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"14,492","12,779",88.2,0.8,"8,624",59.5,1.2,"7,698",53.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"6,865","6,043",88.0,1.1,"3,965",57.8,1.7,"3,561",51.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"7,627","6,736",88.3,1.0,"4,659",61.1,1.6,"4,137",54.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"11,055","10,122",91.6,0.7,"7,090",64.1,1.3,"6,366",57.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"9,389","9,005",95.9,0.6,"6,457",68.8,1.4,"5,846",62.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,"2,354","1,924",81.7,2.7,"1,188",50.5,3.5,"1,042",44.3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,939,614,65.3,5.5,287,30.5,5.4,241,25.7,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),"1,976","1,346",68.1,4.7,754,38.2,4.8,613,31.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"11,130","10,190",91.6,0.7,"7,118",64.0,1.3,"6,389",57.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"9,444","9,059",95.9,0.6,"6,485",68.7,1.3,"5,870",62.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,"2,421","1,981",81.8,2.7,"1,203",49.7,3.5,"1,055",43.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,953,627,65.8,5.5,297,31.2,5.4,246,25.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CAROLINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"6,250","5,923",94.8,0.8,"4,292",68.7,1.7,"3,639",58.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"2,979","2,806",94.2,1.3,"1,958",65.7,2.6,"1,626",54.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"3,271","3,117",95.3,1.1,"2,334",71.3,2.3,"2,013",61.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"4,709","4,461",94.7,1.0,"3,268",69.4,2.0,"2,736",58.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"4,408","4,355",98.8,0.5,"3,227",73.2,2.0,"2,713",61.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,"1,241","1,213",97.7,1.5,874,70.4,4.6,784,63.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,125,85,67.6,15.6,43,34.4,15.8,43,34.4,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),327,109,33.4,12.1,44,13.4,8.7,27,8.2,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"4,750","4,502",94.8,1.0,"3,296",69.4,2.0,"2,758",58.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"4,449","4,396",98.8,0.5,"3,255",73.2,2.0,"2,735",61.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,"1,259","1,230",97.7,1.5,887,70.4,4.6,792,62.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,130,89,68.7,15.2,47,36.5,15.8,47,36.5,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH DAKOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,466,462,99.1,0.5,412,88.5,1.5,330,70.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,228,226,99.3,0.6,199,87.6,2.2,158,69.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,238,235,98.8,0.7,213,89.3,2.0,172,72.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,443,440,99.4,0.4,393,88.8,1.5,318,71.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,439,436,99.4,0.4,390,89.0,1.5,317,72.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,3,3,(B),(B),2,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,-,-,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),6,6,(B),(B),4,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,447,444,99.3,0.4,397,88.7,1.5,321,71.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,442,439,99.3,0.4,393,89.0,1.5,319,72.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,4,4,(B),(B),3,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,-,-,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
OHIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"8,469","8,305",98.1,0.5,"6,003",70.9,1.5,"5,485",64.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"4,037","3,953",97.9,0.7,"2,813",69.7,2.2,"2,581",63.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"4,432","4,352",98.2,0.6,"3,190",72.0,2.0,"2,905",65.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"7,381","7,263",98.4,0.4,"5,268",71.4,1.6,"4,802",65.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"7,188","7,149",99.4,0.3,"5,179",72.0,1.6,"4,723",65.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,895,876,97.9,1.8,630,70.3,5.5,586,65.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,73,45,(B),(B),20,(B),(B),20,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),209,130,62.5,15.8,100,47.7,16.3,90,43.1,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"7,460","7,342",98.4,0.4,"5,318",71.3,1.6,"4,844",64.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"7,257","7,218",99.5,0.3,"5,222",72.0,1.6,"4,757",65.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,923,904,97.9,1.7,648,70.3,5.5,603,65.3,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,80,52,(B),(B),25,(B),(B),25,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"2,602","2,476",95.2,1.0,"1,781",68.4,2.2,"1,541",59.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,247","1,184",94.9,1.5,844,67.7,3.2,724,58.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,355","1,292",95.4,1.4,937,69.2,3.0,818,60.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"2,031","1,946",95.8,1.1,"1,450",71.4,2.4,"1,271",62.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"1,925","1,902",98.8,0.6,"1,423",73.9,2.4,"1,248",64.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,190,183,96.0,4.1,118,61.8,10.2,104,54.7,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,34,17,(B),(B),10,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),135,57,42.6,16.0,29,21.7,13.4,25,18.9,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"2,232","2,131",95.5,1.1,"1,573",70.4,2.3,"1,366",61.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"2,102","2,078",98.9,0.6,"1,543",73.4,2.3,"1,341",63.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,204,196,96.2,3.9,123,60.3,9.9,110,53.7,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,36,19,(B),(B),10,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
OREGON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"2,727","2,600",95.3,0.9,"2,049",75.2,1.9,"1,924",70.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,340","1,266",94.5,1.5,972,72.5,2.8,911,68.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,387","1,333",96.1,1.2,"1,078",77.7,2.6,"1,013",73.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"2,498","2,405",96.3,0.9,"1,941",77.7,1.9,"1,824",73.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"2,348","2,334",99.4,0.4,"1,902",81.0,1.9,"1,791",76.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,48,48,(B),(B),21,(B),(B),21,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,103,81,78.7,11.9,41,39.4,14.2,39,37.6,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),165,79,47.9,14.2,41,25.0,12.4,36,21.7,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"2,540","2,446",96.3,0.9,"1,970",77.6,1.9,"1,853",72.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"2,386","2,372",99.4,0.4,"1,929",80.8,1.9,"1,817",76.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,52,52,(B),(B),26,(B),(B),26,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,111,90,80.3,11.1,47,41.9,13.8,44,39.4,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"9,356","9,055",96.8,0.5,"6,481",69.3,1.4,"5,845",62.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"4,467","4,311",96.5,0.8,"3,052",68.3,2.0,"2,740",61.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"4,889","4,743",97.0,0.7,"3,429",70.1,1.9,"3,105",63.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"8,218","8,036",97.8,0.5,"5,853",71.2,1.4,"5,291",64.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"7,998","7,886",98.6,0.4,"5,769",72.1,1.4,"5,209",65.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,853,816,95.6,2.4,523,61.3,5.8,474,55.6,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,210,135,64.3,12.0,60,28.7,11.4,43,20.5,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),255,179,70.3,13.0,95,37.5,13.7,88,34.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"8,259","8,077",97.8,0.5,"5,884",71.2,1.4,"5,316",64.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"8,038","7,927",98.6,0.4,"5,800",72.2,1.4,"5,234",65.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,889,851,95.8,2.3,549,61.8,5.7,500,56.3,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,210,135,64.3,12.0,60,28.7,11.4,43,20.5,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
RHODE ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,813,732,90.0,1.2,522,64.2,1.9,467,57.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,385,342,88.9,1.8,236,61.3,2.8,213,55.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,428,390,91.1,1.6,286,66.7,2.6,253,59.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,732,681,93.1,1.1,494,67.4,2.0,442,60.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,680,655,96.4,0.8,478,70.3,2.0,431,63.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,46,34,(B),(B),19,(B),(B),17,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,27,11,(B),(B),5,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),58,28,(B),(B),17,(B),(B),13,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,735,684,93.1,1.1,496,67.4,2.0,444,60.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,683,658,96.3,0.8,480,70.3,2.0,432,63.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,48,36,(B),(B),21,(B),(B),18,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,28,11,(B),(B),5,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH CAROLINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"3,061","3,002",98.1,0.6,"2,238",73.1,2.1,"1,899",62.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,441","1,408",97.7,1.0,"1,009",70.0,3.1,862,59.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,620","1,594",98.4,0.8,"1,230",75.9,2.7,"1,037",64.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"2,188","2,132",97.5,0.9,"1,627",74.4,2.4,"1,387",63.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"2,142","2,120",98.9,0.6,"1,617",75.5,2.4,"1,377",64.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,837,834,99.6,0.6,595,71.1,4.9,498,59.5,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,4,4,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),52,16,(B),(B),13,(B),(B),13,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"2,208","2,153",97.5,0.9,"1,636",74.1,2.4,"1,394",63.1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"2,163","2,140",99.0,0.6,"1,626",75.2,2.4,"1,384",64.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,843,840,99.6,0.6,599,71.1,4.9,500,59.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,4,4,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH DAKOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,564,554,98.2,0.6,425,75.5,1.8,378,67.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,275,269,98.0,0.9,196,71.4,2.8,174,63.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,289,284,98.4,0.7,229,79.3,2.4,204,70.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,530,524,98.9,0.5,408,77.0,1.9,366,69.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,521,519,99.6,0.3,405,77.8,1.9,363,69.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,2,1,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,7,4,(B),(B),1,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),10,6,(B),(B),4,(B),(B),4,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,535,530,98.9,0.5,412,76.9,1.9,368,68.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,527,525,99.6,0.3,409,77.6,1.8,365,69.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,3,2,(B),(B),1,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,7,4,(B),(B),1,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"4,402","4,250",96.5,0.9,"2,739",62.2,2.4,"2,319",52.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"2,118","2,035",96.1,1.4,"1,262",59.6,3.5,"1,075",50.8,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"2,283","2,215",97.0,1.2,"1,477",64.7,3.3,"1,243",54.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"3,655","3,550",97.1,0.9,"2,288",62.6,2.6,"1,954",53.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"3,548","3,510",99.0,0.6,"2,273",64.1,2.6,"1,945",54.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,651,638,98.0,2.2,416,63.9,7.5,334,51.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,29,6,(B),(B),6,(B),(B),6,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),128,48,37.3,22.0,16,12.3,15.0,9,7.2,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"3,695","3,585",97.0,0.9,"2,309",62.5,2.6,"1,971",53.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"3,582","3,545",99.0,0.6,"2,294",64.0,2.6,"1,962",54.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,651,638,98.0,2.2,416,63.9,7.5,334,51.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,29,6,(B),(B),6,(B),(B),6,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"15,813","13,925",88.1,0.9,"9,681",61.2,1.3,"7,950",50.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"7,667","6,689",87.2,1.3,"4,548",59.3,1.9,"3,684",48.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"8,146","7,237",88.8,1.2,"5,133",63.0,1.8,"4,266",52.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"13,246","11,639",87.9,0.9,"8,148",61.5,1.4,"6,706",50.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"8,246","8,107",98.3,0.5,"6,065",73.6,1.6,"5,232",63.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,"1,669","1,613",96.7,1.8,"1,141",68.4,4.6,931,55.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,508,356,70.0,8.5,190,37.5,9.0,152,29.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),"5,232","3,688",70.5,3.3,"2,170",41.5,3.5,"1,533",29.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"13,490","11,826",87.7,0.9,"8,282",61.4,1.4,"6,808",50.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"8,370","8,225",98.3,0.5,"6,144",73.4,1.6,"5,292",63.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,"1,721","1,662",96.6,1.8,"1,173",68.2,4.5,955,55.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,535,376,70.3,8.2,199,37.2,8.7,160,30.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
UTAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"1,629","1,508",92.5,1.2,"1,141",70.1,2.2,"1,022",62.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,811,745,91.9,1.8,547,67.5,3.1,494,60.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,818,763,93.2,1.7,594,72.6,3.0,529,64.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"1,561","1,469",94.1,1.1,"1,120",71.7,2.2,"1,003",64.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"1,461","1,404",96.1,1.0,"1,094",74.9,2.2,979,67.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,10,6,(B),(B),5,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,32,15,(B),(B),8,(B),(B),8,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),104,67,64.3,14.1,28,27.0,13.1,27,25.8,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"1,569","1,476",94.0,1.1,"1,125",71.7,2.2,"1,007",64.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
