index,Categories,Total_Population_1994,Total_Registered_1994,Total_Voted_1994,index,Categories,Total_Population_1996,Total_Registered_1996,Total_Voted_1996,index,Categories,Total_Population_1998,Total_Registered_1998,Total_Voted_1998,index,Categories,Total_Population_2000,Total_Registered_2000,Total_Voted_2000,index,Categories,Total_Population_2002,Total_Registered_2002,Total_Voted_2002,index,Categories,Total_Population_2004,Total_Registered_2004,Total_Voted_2004,index,Categories,Total_Population_2006,Total_Registered_2006,Total_Voted_2006,index,Categories,Total_Population_2008,Total_Registered_2008,Total_Voted_2008,index,Categories,Total_Population_2010,Total_Registered_2010,Total_Voted_2010,index,Categories,Total_Population_2012,Total_Registered_2012,Total_Voted_2012,index,Categories,Total_Population_2014,Total_Registered_2014,Total_Voted_2014,index,Categories,Total_Population_2016,Total_Registered_2016,Total_Voted_2016,index,Categories,Total_Population_2018,Total_Registered_2018,Total_Voted_2018,index,Categories,Total_Population_2020,Total_Registered_2020,Total_Voted_2020
210,NORTH DAKOTA TOTAL,441,412,270,210,NORTH DAKOTA TOTAL,456,412,300,210,NORTH DAKOTA TOTAL,460,416,262,210,NORTH DAKOTA TOTAL,449,409,313,210,NORTH DAKOTA TOTAL,492,405,279,210,NORTH DAKOTA TOTAL,466,412,330,210,NORTH_DAKOTA TOTAL,484,397,259,210,NORTH_DAKOTA TOTAL,484,399,321,210,NORTH DAKOTA TOTAL,488,361,266,210,NORTH DAKOTA TOTAL,528,383,328,210,NORTH DAKOTA TOTAL,567,363,279,210,NORTH DAKOTA TOTAL,583,424,362,210,NORTH DAKOTA TOTAL,560,397,335,210,NORTH DAKOTA TOTAL,571,429,373
211,MALE,217,203,137,211,MALE,227,204,149,211,MALE,226,203,129,211,MALE,222,202,155,211,MALE,231,188,129,211,MALE,228,199,158,211,MALE,238,192,127,211,MALE,238,189,147,211,MALE,243,177,132,211,MALE,263,192,165,211,MALE,290,180,136,211,MALE,298,216,182,211,MALE,286,194,160,211,MALE,289,217,188
212,FEMALE,224,209,133,212,FEMALE,228,208,151,212,FEMALE,234,213,133,212,FEMALE,228,208,159,212,FEMALE,261,217,150,212,FEMALE,238,213,172,212,FEMALE,246,205,132,212,FEMALE,246,209,174,212,FEMALE,245,184,134,212,FEMALE,265,191,163,212,FEMALE,276,183,143,212,FEMALE,285,208,180,212,FEMALE,274,204,175,212,FEMALE,282,212,185
213,WHITE,426,399,262,213,WHITE,443,401,294,213,HISPANIC ORIGIN,1,1,0,213,WHITE,425,389,303,213,WHITE,467,388,270,213,WHITE,443,393,318,213,WHITE,439,362,240,213,WHITE,434,361,289,213,WHITE,433,324,240,213,WHITE,471,354,305,213,WHITE,516,345,266,213,WHITE,520,403,348,213,WHITE,499,368,315,213,WHITE,503,393,352
214,BLACK,1,0,0,214,BLACK,1,1,1,214,WHITE,438,396,250,214,BLACK,2,2,1,214,BLACK,2,1,1,214,BLACK,3,2,1,214,BLACK,1,1,,214,BLACK,5,2,1,214,BLACK,4,2,,214,BLACK,6,2,2,214,BLACK,10,2,2,214,BLACK,15,4,3,214,BLACK,14,2,1,214,BLACK,13,2,2
215,HISPANIC ORIGIN,2,1,0,215,HISPANIC ORIGIN,3,2,1,215,BLACK,0,0,0,215,HISPANIC ORIGIN,3,2,,215,HISPANIC ORIGIN,6,3,1,215,HISPANIC ORIGIN,6,4,2,215,HISPANIC ORIGIN,6,3,1,215,HISPANIC ORIGIN,6,3,1,215,HISPANIC ORIGIN,3,2,,215,HISPANIC ORIGIN,16,7,6,215,HISPANIC ORIGIN,19,5,2,215,HISPANIC ORIGIN,9,5,4,215,HISPANIC ORIGIN,16,10,7,215,HISPANIC ORIGIN,16,6,5
216,OHIO TOTAL,8152,5280,3805,216,OHIO TOTAL,8192,5604,4811,216,OHIO TOTAL,8263,5266,3685,216,OHIO TOTAL,8301,5561,4823,216,OHIO TOTAL,8604,5488,3652,216,OHIO TOTAL,8469,6003,5485,216,OHIO TOTAL,8508,5919,4408,216,OHIO TOTAL,8499,6108,5483,216,OHIO TOTAL,8642,5601,3824,216,OHIO TOTAL,8750,6076,5395,216,OHIO TOTAL,8772,5657,3378,216,OHIO TOTAL,8811,6128,5408,216,OHIO TOTAL,8873,6062,4538,216,OHIO TOTAL,8951,6733,6128
217,MALE,3819,2432,1773,217,MALE,3858,2611,2228,217,MALE,3887,2460,1708,217,MALE,3916,2559,2201,217,MALE,4047,2490,1675,217,MALE,4037,2813,2581,217,MALE,4072,2759,2051,217,MALE,4068,2913,2604,217,MALE,4135,2664,1866,217,MALE,4175,2798,2463,217,MALE,4197,2640,1616,217,MALE,4219,2837,2472,217,MALE,4294,2840,2035,217,MALE,4311,3219,2913
218,FEMALE,4334,2847,2032,218,FEMALE,4334,2993,2582,218,FEMALE,4376,2806,1977,218,FEMALE,4385,3002,2622,218,FEMALE,4557,2998,1977,218,FEMALE,4432,3190,2905,218,FEMALE,4436,3160,2357,218,FEMALE,4431,3196,2879,218,FEMALE,4506,2936,1958,218,FEMALE,4576,3278,2932,218,FEMALE,4575,3018,1762,218,FEMALE,4593,3291,2936,218,FEMALE,4579,3222,2503,218,FEMALE,4640,3514,3216
219,WHITE,7343,4855,3485,219,WHITE,7210,5087,4381,219,HISPANIC ORIGIN,98,37,26,219,WHITE,7250,4913,4280,219,WHITE,7456,4857,3243,219,WHITE,7381,5268,4802,219,WHITE,7351,5212,3936,219,WHITE,7330,5285,4722,219,WHITE,7474,4910,3382,219,WHITE,7473,5201,4565,219,WHITE,7404,4869,2898,219,WHITE,7340,5235,4642,219,WHITE,7372,5152,3889,219,WHITE,7416,5724,5223
220,BLACK,721,398,299,220,BLACK,860,488,406,220,WHITE,7310,4689,3272,220,BLACK,934,601,502,220,BLACK,1009,596,396,220,BLACK,895,630,586,220,BLACK,926,593,397,220,BLACK,915,680,630,220,BLACK,930,606,389,220,BLACK,1028,723,699,220,BLACK,1024,680,403,220,BLACK,1031,722,637,220,BLACK,1054,707,519,220,BLACK,1069,758,678
221,HISPANIC ORIGIN,76,33,21,221,HISPANIC ORIGIN,76,35,30,221,BLACK,821,525,384,221,HISPANIC ORIGIN,106,47,43,221,HISPANIC ORIGIN,180,46,29,221,HISPANIC ORIGIN,209,100,90,221,HISPANIC ORIGIN,216,112,58,221,HISPANIC ORIGIN,212,85,74,221,HISPANIC ORIGIN,187,64,38,221,HISPANIC ORIGIN,252,116,98,221,HISPANIC ORIGIN,192,93,36,221,HISPANIC ORIGIN,277,119,100,221,HISPANIC ORIGIN,235,121,60,221,HISPANIC ORIGIN,383,226,175
222,OKLAHOMA TOTAL,2325,1532,1089,222,OKLAHOMA TOTAL,2356,1652,1379,222,OKLAHOMA TOTAL,2426,1556,973,222,OKLAHOMA TOTAL,2457,1679,1431,222,OKLAHOMA TOTAL,2515,1656,1201,222,OKLAHOMA TOTAL,2602,1781,1541,222,OKLAHOMA TOTAL,2616,1776,1174,222,OKLAHOMA TOTAL,2667,1798,1507,222,OKLAHOMA TOTAL,2695,1603,1061,222,OKLAHOMA TOTAL,2808,1806,1431,222,OKLAHOMA TOTAL,2851,1644,920,222,OKLAHOMA TOTAL,2923,1861,1555,222,OKLAHOMA TOTAL,2868,1777,1350,222,OKLAHOMA TOTAL,2942,1884,1631
223,MALE,1078,683,515,223,MALE,1064,711,602,223,MALE,1177,715,477,223,MALE,1155,761,653,223,MALE,1216,774,588,223,MALE,1247,844,724,223,MALE,1253,833,561,223,MALE,1280,867,722,223,MALE,1295,756,489,223,MALE,1358,835,656,223,MALE,1394,753,418,223,MALE,1417,890,735,223,MALE,1388,824,626,223,MALE,1434,856,741
224,FEMALE,1247,850,575,224,FEMALE,1292,941,777,224,FEMALE,1249,841,496,224,FEMALE,1302,918,778,224,FEMALE,1299,882,612,224,FEMALE,1355,937,818,224,FEMALE,1363,943,613,224,FEMALE,1386,931,785,224,FEMALE,1400,847,572,224,FEMALE,1449,970,775,224,FEMALE,1457,890,502,224,FEMALE,1507,971,820,224,FEMALE,1480,953,724,224,FEMALE,1508,1028,890
225,WHITE,1963,1344,977,225,WHITE,1937,1381,1172,225,HISPANIC ORIGIN,74,29,11,225,WHITE,2169,1507,1287,225,WHITE,2018,1399,1026,225,WHITE,2031,1450,1271,225,WHITE,2064,1494,995,225,WHITE,2080,1436,1210,225,WHITE,2015,1234,833,225,WHITE,2072,1364,1101,225,WHITE,2262,1343,751,225,WHITE,2289,1470,1263,225,WHITE,2254,1422,1098,225,WHITE,2289,1537,1347
226,BLACK,214,107,68,226,BLACK,219,147,114,226,WHITE,1988,1295,828,226,BLACK,115,66,51,226,BLACK,228,124,83,226,BLACK,190,118,104,226,BLACK,188,100,72,226,BLACK,194,142,119,226,BLACK,195,111,71,226,BLACK,191,116,102,226,BLACK,192,96,56,226,BLACK,198,139,102,226,BLACK,195,90,61,226,BLACK,231,123,108
227,HISPANIC ORIGIN,78,31,10,227,HISPANIC ORIGIN,41,13,11,227,BLACK,213,129,68,227,HISPANIC ORIGIN,76,26,21,227,HISPANIC ORIGIN,103,38,29,227,HISPANIC ORIGIN,135,29,25,227,HISPANIC ORIGIN,117,37,17,227,HISPANIC ORIGIN,170,47,33,227,HISPANIC ORIGIN,159,38,19,227,HISPANIC ORIGIN,174,53,36,227,HISPANIC ORIGIN,267,84,28,227,HISPANIC ORIGIN,280,68,50,227,HISPANIC ORIGIN,310,88,71,227,HISPANIC ORIGIN,348,106,75
228,OREGON TOTAL,2309,1688,1415,228,OREGON TOTAL,2395,1746,1462,228,OREGON TOTAL,2474,1635,1163,228,OREGON TOTAL,2515,1714,1529,228,OREGON TOTAL,2625,1718,1359,228,OREGON TOTAL,2727,2049,1924,228,OREGON TOTAL,2802,1924,1601,228,OREGON TOTAL,2904,1961,1818,228,OREGON TOTAL,2974,2005,1594,228,OREGON TOTAL,2998,2086,1897,228,OREGON TOTAL,3078,2008,1594,228,OREGON TOTAL,3185,2147,1942,228,OREGON TOTAL,3293,2274,1918,228,OREGON TOTAL,3369,2590,2402
229,MALE,1153,805,674,229,MALE,1185,823,686,229,MALE,1225,763,562,229,MALE,1219,806,712,229,MALE,1317,832,647,229,MALE,1340,972,911,229,MALE,1373,930,749,229,MALE,1416,913,835,229,MALE,1455,962,781,229,MALE,1480,990,893,229,MALE,1512,950,741,229,MALE,1567,1052,952,229,MALE,1612,1078,912,229,MALE,1645,1245,1144
230,FEMALE,1156,883,740,230,FEMALE,1210,923,776,230,FEMALE,1250,871,601,230,FEMALE,1296,908,817,230,FEMALE,1308,886,713,230,FEMALE,1387,1078,1013,230,FEMALE,1429,995,851,230,FEMALE,1488,1047,983,230,FEMALE,1520,1043,813,230,FEMALE,1518,1095,1004,230,FEMALE,1566,1058,852,230,FEMALE,1618,1095,990,230,FEMALE,1681,1197,1006,230,FEMALE,1724,1345,1258
231,WHITE,2166,1644,1375,231,WHITE,2279,1678,1405,231,HISPANIC ORIGIN,180,34,15,231,WHITE,2372,1652,1477,231,WHITE,2423,1620,1295,231,WHITE,2498,1941,1824,231,WHITE,2578,1807,1518,231,WHITE,2559,1793,1670,231,WHITE,2725,1861,1493,231,WHITE,2633,1903,1733,231,WHITE,2768,1861,1510,231,WHITE,2808,1961,1790,231,WHITE,2874,2059,1769,231,WHITE,2955,2345,2191
232,BLACK,40,20,18,232,BLACK,48,39,34,232,WHITE,2310,1562,1119,232,BLACK,34,20,17,232,BLACK,48,30,28,232,BLACK,48,21,21,232,BLACK,39,16,16,232,BLACK,57,37,34,232,BLACK,63,39,25,232,BLACK,57,32,26,232,BLACK,56,29,14,232,BLACK,57,28,23,232,BLACK,78,43,41,232,BLACK,82,47,39
233,HISPANIC ORIGIN,97,28,20,233,HISPANIC ORIGIN,111,31,16,233,BLACK,38,28,16,233,HISPANIC ORIGIN,193,48,33,233,HISPANIC ORIGIN,189,48,21,233,HISPANIC ORIGIN,165,41,36,233,HISPANIC ORIGIN,169,57,42,233,HISPANIC ORIGIN,261,43,39,233,HISPANIC ORIGIN,189,50,35,233,HISPANIC ORIGIN,226,69,60,233,HISPANIC ORIGIN,322,106,62,233,HISPANIC ORIGIN,371,142,122,233,HISPANIC ORIGIN,365,140,93,233,HISPANIC ORIGIN,281,122,105
234,PENNSYLVANIA TOTAL,9004,5317,3854,234,PENNSYVANNIA TOTAL,8996,5902,4951,234,PENNSYLVANIA TOTAL,8942,5452,3503,234,PENNSYLVANIA TOTAL,8950,5847,4988,234,PENNSYLVANIA TOTAL,9404,5762,3925,234,PENNSYLVANIA TOTAL,9356,6481,5845,234,PENNSYLVANIA TOTAL,9436,5991,4394,234,PENNSYLVANIA TOTAL,9449,6451,5747,234,PENNSYLVANIA TOTAL,9631,6031,4104,234,PENNSYLVANIA TOTAL,9847,6795,5824,234,PENNSYLVANIA TOTAL,9924,6121,3803,234,PENNSYLVANIA TOTAL,9980,6909,6008,234,PENNSYLVANIA TOTAL,9928,6469,5173,234,PENNSYLVANIA TOTAL,9902,7337,6756
235,MALE,4331,2531,1886,235,MALE,4282,2871,2428,235,MALE,4136,2569,1658,235,MALE,4287,2836,2373,235,MALE,4474,2760,1882,235,MALE,4467,3052,2740,235,MALE,4492,2826,2091,235,MALE,4493,3014,2664,235,MALE,4581,2812,1956,235,MALE,4727,3217,2740,235,MALE,4779,2845,1768,235,MALE,4808,3199,2793,235,MALE,4736,3056,2445,235,MALE,4787,3489,3192
236,FEMALE,4673,2787,1968,236,FEMALE,4714,3031,2523,236,FEMALE,4806,2884,1845,236,FEMALE,4663,3011,2615,236,FEMALE,4930,3001,2043,236,FEMALE,4889,3429,3105,236,FEMALE,4944,3165,2302,236,FEMALE,4956,3436,3083,236,FEMALE,5050,3220,2148,236,FEMALE,5120,3578,3084,236,FEMALE,5145,3276,2035,236,FEMALE,5172,3709,3215,236,FEMALE,5192,3414,2728,236,FEMALE,5115,3848,3564
237,WHITE,7914,4666,3404,237,WHITE,8070,5328,4463,237,HISPANIC ORIGIN,245,107,41,237,WHITE,8015,5269,4482,237,WHITE,8334,5234,3568,237,WHITE,8218,5853,5291,237,WHITE,8373,5489,4027,237,WHITE,8319,5783,5126,237,WHITE,8435,5426,3674,237,WHITE,8382,5951,5074,237,WHITE,8451,5452,3375,237,WHITE,8435,5916,5153,237,WHITE,8277,5628,4461,237,WHITE,8485,6390,5875
238,BLACK,881,596,421,238,BLACK,785,528,453,238,WHITE,7966,4957,3203,238,BLACK,764,524,457,238,BLACK,827,473,339,238,BLACK,853,523,474,238,BLACK,900,432,305,238,BLACK,882,557,535,238,BLACK,907,494,368,238,BLACK,1006,675,614,238,BLACK,1001,492,341,238,BLACK,1071,751,637,238,BLACK,1059,653,562,238,BLACK,1042,751,694
239,HISPANIC ORIGIN,191,70,32,239,HISPANIC ORIGIN,171,95,64,239,BLACK,784,469,288,239,HISPANIC ORIGIN,248,99,68,239,HISPANIC ORIGIN,309,109,66,239,HISPANIC ORIGIN,255,95,88,239,HISPANIC ORIGIN,312,119,77,239,HISPANIC ORIGIN,361,189,161,239,HISPANIC ORIGIN,390,155,79,239,HISPANIC ORIGIN,501,225,184,239,HISPANIC ORIGIN,689,260,119,239,HISPANIC ORIGIN,544,279,229,239,HISPANIC ORIGIN,657,218,154,239,HISPANIC ORIGIN,618,305,270
240,RHODE ISLAND TOTAL,729,475,373,240,RHODE ISLAND TOTAL,725,519,439,240,RHODE ISLAND TOTAL,726,478,352,240,RHODE ISLAND TOTAL,729,508,438,240,RHODE ISLAND TOTAL,803,495,372,240,RHODE ISLAND TOTAL,813,522,467,240,RHODE_ISLAND TOTAL,806,536,431,240,RHODE_ISLAND TOTAL,804,568,507,240,RHODE ISLAND TOTAL,812,510,348,240,RHODE ISLAND TOTAL,817,552,469,240,RHODE ISLAND TOTAL,819,486,331,240,RHODE ISLAND TOTAL,836,538,464,240,RHODE ISLAND TOTAL,828,532,403,240,RHODE ISLAND TOTAL,840,575,515
241,MALE,336,221,178,241,MALE,336,237,201,241,MALE,334,223,168,241,MALE,339,230,193,241,MALE,387,231,180,241,MALE,385,236,213,241,MALE,382,247,197,241,MALE,380,258,228,241,MALE,387,238,168,241,MALE,384,254,212,241,MALE,387,231,154,241,MALE,404,253,213,241,MALE,394,238,186,241,MALE,402,273,246
242,FEMALE,393,254,195,242,FEMALE,389,283,238,242,FEMALE,392,255,184,242,FEMALE,390,279,245,242,FEMALE,416,264,192,242,FEMALE,428,286,253,242,FEMALE,424,289,234,242,FEMALE,424,310,279,242,FEMALE,425,272,180,242,FEMALE,434,298,257,242,FEMALE,432,255,177,242,FEMALE,432,285,251,242,FEMALE,435,293,217,242,FEMALE,438,302,269
243,WHITE,684,454,358,243,WHITE,676,503,424,243,HISPANIC ORIGIN,36,5,2,243,WHITE,670,488,419,243,WHITE,730,473,357,243,WHITE,732,494,442,243,WHITE,723,498,401,243,WHITE,730,526,468,243,WHITE,720,477,329,243,WHITE,713,497,420,243,WHITE,717,451,311,243,WHITE,699,467,403,243,WHITE,724,488,374,243,WHITE,742,519,462
244,BLACK,27,17,12,244,BLACK,38,11,10,244,WHITE,682,460,340,244,BLACK,38,14,13,244,BLACK,51,16,11,244,BLACK,46,19,17,244,BLACK,40,21,17,244,BLACK,48,29,27,244,BLACK,45,18,12,244,BLACK,50,33,30,244,BLACK,55,28,16,244,BLACK,63,42,34,244,BLACK,53,26,16,244,BLACK,61,39,37
245,HISPANIC ORIGIN,36,11,6,245,HISPANIC ORIGIN,29,8,7,245,BLACK,37,16,9,245,HISPANIC ORIGIN,30,4,4,245,HISPANIC ORIGIN,69,16,12,245,HISPANIC ORIGIN,58,17,13,245,HISPANIC ORIGIN,76,25,19,245,HISPANIC ORIGIN,71,22,20,245,HISPANIC ORIGIN,84,20,10,245,HISPANIC ORIGIN,95,37,32,245,HISPANIC ORIGIN,75,22,13,245,HISPANIC ORIGIN,132,67,57,245,HISPANIC ORIGIN,98,44,30,245,HISPANIC ORIGIN,88,38,36
246,SOUTH CAROLINA TOTAL,2681,1635,1217,246,SOUTH CAROLINA TOTAL,2716,1851,1479,246,SOUTH CAROLINA TOTAL,2817,1907,1328,246,SOUTH CAROLINA TOTAL,2929,1993,1725,246,SOUTH CAROLINA TOTAL,2967,1972,1353,246,SOUTH CAROLINA TOTAL,3061,2238,1899,246,SOUTH_CAROLINA TOTAL,3197,1986,1376,246,SOUTH_CAROLINA TOTAL,3313,2385,2100,246,SOUTH CAROLINA TOTAL,3453,2304,1700,246,SOUTH CAROLINA TOTAL,3516,2479,2187,246,SOUTH CAROLINA TOTAL,3667,2458,1514,246,SOUTH CAROLINA TOTAL,3733,2575,2233,246,SOUTH CAROLINA TOTAL,3914,2430,1836,246,SOUTH CAROLINA TOTAL,4010,2713,2459
247,MALE,1261,766,581,247,MALE,1269,840,660,247,MALE,1328,852,593,247,MALE,1355,869,752,247,MALE,1410,890,638,247,MALE,1441,1009,862,247,MALE,1521,894,605,247,MALE,1564,1052,926,247,MALE,1635,1054,777,247,MALE,1660,1096,940,247,MALE,1730,1132,699,247,MALE,1774,1145,992,247,MALE,1849,1121,828,247,MALE,1887,1266,1158
248,FEMALE,1420,869,636,248,FEMALE,1447,1011,819,248,FEMALE,1489,1055,734,248,FEMALE,1575,1124,973,248,FEMALE,1557,1082,714,248,FEMALE,1620,1230,1037,248,FEMALE,1677,1091,771,248,FEMALE,1749,1333,1175,248,FEMALE,1818,1250,922,248,FEMALE,1856,1382,1247,248,FEMALE,1937,1325,815,248,FEMALE,1959,1430,1241,248,FEMALE,2066,1309,1007,248,FEMALE,2123,1447,1302
249,WHITE,1765,1108,872,249,WHITE,2005,1399,1127,249,HISPANIC ORIGIN,24,6,3,249,WHITE,2233,1524,1310,249,WHITE,2224,1473,1003,249,WHITE,2188,1627,1387,249,WHITE,2270,1368,935,249,WHITE,2413,1713,1466,249,WHITE,2455,1646,1190,249,WHITE,2508,1745,1515,249,WHITE,2622,1778,1075,249,WHITE,2621,1760,1529,249,WHITE,2790,1727,1276,249,WHITE,2840,2013,1845
250,BLACK,882,520,341,250,BLACK,677,436,338,250,WHITE,2056,1397,1004,250,BLACK,662,454,402,250,BLACK,714,488,347,250,BLACK,837,595,498,250,BLACK,858,582,419,250,BLACK,854,650,615,250,BLACK,898,616,482,250,BLACK,919,691,631,250,BLACK,965,640,419,250,BLACK,975,720,628,250,BLACK,1000,646,519,250,BLACK,1032,613,546
251,HISPANIC ORIGIN,16,0,0,251,HISPANIC ORIGIN,18,6,6,251,BLACK,741,504,317,251,HISPANIC ORIGIN,62,7,7,251,HISPANIC ORIGIN,107,27,18,251,HISPANIC ORIGIN,52,13,13,251,HISPANIC ORIGIN,151,9,7,251,HISPANIC ORIGIN,111,21,18,251,HISPANIC ORIGIN,112,15,4,251,HISPANIC ORIGIN,114,21,16,251,HISPANIC ORIGIN,171,48,14,251,HISPANIC ORIGIN,175,39,31,251,HISPANIC ORIGIN,207,36,19,251,HISPANIC ORIGIN,257,77,62
252,SOUTH DAKOTA TOTAL,495,374,317,252,SOUTH DAKOTA TOTAL,523,391,336,252,SOUTH DAKOTA TOTAL,529,364,268,252,SOUTH DAKOTA TOTAL,530,376,311,252,SOUTH DAKOTA TOTAL,573,428,375,252,SOUTH DAKOTA TOTAL,564,425,378,252,SOUTH_DAKOTA TOTAL,577,445,358,252,SOUTH_DAKOTA TOTAL,590,442,390,252,SOUTH DAKOTA TOTAL,602,406,322,252,SOUTH DAKOTA TOTAL,616,454,370,252,SOUTH DAKOTA TOTAL,625,401,273,252,SOUTH DAKOTA TOTAL,631,437,362,252,SOUTH DAKOTA TOTAL,648,429,331,252,SOUTH DAKOTA TOTAL,659,437,380
253,MALE,239,176,152,253,MALE,257,185,161,253,MALE,269,183,138,253,MALE,263,184,149,253,MALE,279,197,171,253,MALE,275,196,174,253,MALE,285,212,167,253,MALE,291,207,178,253,MALE,297,194,151,253,MALE,304,220,180,253,MALE,308,189,132,253,MALE,314,213,171,253,MALE,325,207,160,253,MALE,330,217,189
254,FEMALE,256,198,165,254,FEMALE,266,205,175,254,FEMALE,260,181,130,254,FEMALE,266,192,162,254,FEMALE,294,231,204,254,FEMALE,289,229,204,254,FEMALE,292,233,191,254,FEMALE,299,235,212,254,FEMALE,305,212,171,254,FEMALE,312,235,191,254,FEMALE,317,212,141,254,FEMALE,318,224,191,254,FEMALE,323,222,170,254,FEMALE,329,221,191
255,WHITE,477,365,313,255,WHITE,492,373,323,255,HISPANIC ORIGIN,4,3,2,255,WHITE,498,357,298,255,WHITE,541,408,360,255,WHITE,530,408,366,255,WHITE,533,424,346,255,WHITE,541,421,372,255,WHITE,554,380,304,255,WHITE,541,405,341,255,WHITE,562,369,259,255,WHITE,560,406,340,255,WHITE,573,392,305,255,WHITE,587,401,351
256,BLACK,2,1,1,256,BLACK,2,1,1,256,WHITE,498,351,262,256,BLACK,5,2,1,256,BLACK,4,3,2,256,BLACK,2,,,256,BLACK,4,,,256,BLACK,6,2,2,256,BLACK,7,2,1,256,BLACK,6,3,,256,BLACK,12,5,3,256,BLACK,11,4,3,256,BLACK,12,2,1,256,BLACK,18,5,4
257,HISPANIC ORIGIN,3,1,1,257,HISPANIC ORIGIN,4,1,1,257,BLACK,2,0,0,257,HISPANIC ORIGIN,4,2,1,257,HISPANIC ORIGIN,10,3,2,257,HISPANIC ORIGIN,10,4,4,257,HISPANIC ORIGIN,11,5,4,257,HISPANIC ORIGIN,11,3,3,257,HISPANIC ORIGIN,19,6,3,257,HISPANIC ORIGIN,16,6,3,257,HISPANIC ORIGIN,12,3,,257,HISPANIC ORIGIN,21,8,7,257,HISPANIC ORIGIN,15,5,4,257,HISPANIC ORIGIN,13,6,5
258,TENNESSEE TOTAL,3856,2460,1662,258,TENNESSEE TOTAL,4014,2647,2133,258,TENNESSEE TOTAL,4080,2607,1478,258,TENNESSEE TOTAL,4173,2590,2183,258,TENNESSEE TOTAL,4284,2587,1897,258,TENNESSEE TOTAL,4402,2739,2319,258,TENNESSEE TOTAL,4571,2828,2003,258,TENNESSEE TOTAL,4692,2921,2516,258,TENNESSEE TOTAL,4745,2854,1714,258,TENNESSEE TOTAL,4849,3210,2606,258,TENNESSEE TOTAL,4975,3088,1763,258,TENNESSEE TOTAL,5057,3251,2630,258,TENNESSEE TOTAL,5202,3183,2487,258,TENNESSEE TOTAL,5283,3742,3346
259,MALE,1810,1172,842,259,MALE,1948,1276,1032,259,MALE,1940,1212,708,259,MALE,2036,1239,1042,259,MALE,2047,1214,911,259,MALE,2118,1262,1075,259,MALE,2199,1268,927,259,MALE,2220,1295,1119,259,MALE,2278,1317,789,259,MALE,2300,1432,1172,259,MALE,2366,1376,793,259,MALE,2418,1505,1218,259,MALE,2501,1476,1174,259,MALE,2544,1766,1563
260,FEMALE,2046,1287,820,260,FEMALE,2066,1372,1100,260,FEMALE,2140,1395,769,260,FEMALE,2137,1351,1142,260,FEMALE,2237,1374,986,260,FEMALE,2283,1477,1243,260,FEMALE,2372,1560,1076,260,FEMALE,2472,1626,1397,260,FEMALE,2466,1537,925,260,FEMALE,2548,1778,1434,260,FEMALE,2609,1712,970,260,FEMALE,2639,1746,1412,260,FEMALE,2701,1707,1313,260,FEMALE,2738,1976,1783
261,WHITE,3264,2084,1452,261,WHITE,3272,2170,1728,261,HISPANIC ORIGIN,20,10,0,261,WHITE,3489,2160,1836,261,WHITE,3619,2256,1659,261,WHITE,3655,2288,1954,261,WHITE,3775,2410,1723,261,WHITE,3849,2434,2067,261,WHITE,3869,2365,1433,261,WHITE,3925,2621,2098,261,WHITE,4014,2545,1481,261,WHITE,4014,2640,2176,261,WHITE,4156,2606,2039,261,WHITE,4212,2992,2677
262,BLACK,513,359,198,262,BLACK,717,471,401,262,WHITE,3425,2187,1225,262,BLACK,658,427,344,262,BLACK,557,301,222,262,BLACK,651,416,334,262,BLACK,697,373,268,262,BLACK,697,426,405,262,BLACK,716,415,242,262,BLACK,768,513,441,262,BLACK,793,473,244,262,BLACK,814,519,402,262,BLACK,830,484,368,262,BLACK,866,658,592
263,HISPANIC ORIGIN,30,7,0,263,HISPANIC ORIGIN,33,9,3,263,BLACK,635,411,248,263,HISPANIC ORIGIN,67,11,11,263,HISPANIC ORIGIN,180,13,6,263,HISPANIC ORIGIN,128,16,9,263,HISPANIC ORIGIN,163,12,6,263,HISPANIC ORIGIN,178,37,34,263,HISPANIC ORIGIN,160,37,19,263,HISPANIC ORIGIN,241,107,84,263,HISPANIC ORIGIN,202,42,13,263,HISPANIC ORIGIN,221,40,27,263,HISPANIC ORIGIN,282,69,48,263,HISPANIC ORIGIN,329,72,63
264,TEXAS TOTAL,13134,7685,4964,264,TEXAS TOTAL,13431,8316,6210,264,TEXAS TOTAL,14080,8301,4636,264,TEXAS TOTAL,14533,8929,7005,264,TEXAS TOTAL,14996,8591,5283,264,TEXAS TOTAL,15813,9681,7950,264,TEXAS TOTAL,16512,9676,5526,264,TEXAS TOTAL,17295,10123,8435,264,TEXAS TOTAL,17847,9493,5600,264,TEXAS TOTAL,18642,10749,8643,264,TEXAS TOTAL,19354,9946,5836,264,TEXAS TOTAL,20172,11724,9626,264,TEXAS TOTAL,21064,11634,8886,264,TEXAS TOTAL,21485,13343,11874
265,MALE,6411,3619,2325,265,MALE,6543,4001,2929,265,MALE,6691,3825,2150,265,MALE,7079,4189,3305,265,MALE,7212,3985,2485,265,MALE,7667,4548,3684,265,MALE,8038,4520,2569,265,MALE,8434,4693,3862,265,MALE,8742,4438,2631,265,MALE,9046,4977,3925,265,MALE,9412,4606,2600,265,MALE,9775,5479,4465,265,MALE,10274,5361,4064,265,MALE,10513,6338,5580
